,ProductCode##OTHER##,A##LENGTH##MILLIMETERS,A2##LENGTH##MILLIMETERS,A3##LENGTH##MILLIMETERS,AB##LENGTH##MILLIMETERS,AC##LENGTH##MILLIMETERS,AD##LENGTH##MILLIMETERS,AG##LENGTH##MILLIMETERS,Apparent Load##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,A-Type Code##LENGTH##MILLIMETERS,B1##LENGTH##MILLIMETERS,B2##LENGTH##MILLIMETERS,BB##LENGTH##MILLIMETERS,C##LENGTH##MILLIMETERS,Category##OTHER##,Clearance area##OTHER##,Dis_D1##LENGTH##MILLIMETERS,Dis_D3##LENGTH##MILLIMETERS,Efficiency Rating##OTHER##,Electric motor output##OTHER##,Enclosure Rating##OTHER##,Flow##PIPING_FLOW##CUBIC_METERS_PER_HOUR,FluidTempMax##PIPING_TEMPERATURE##CELSIUS,FluidTempMin##PIPING_TEMPERATURE##CELSIUS,FluidType##OTHER##,Full Load Amperes##ELECTRICAL_CURRENT##AMPERES,G1##LENGTH##MILLIMETERS,G2##LENGTH##MILLIMETERS,G3##LENGTH##MILLIMETERS,Grey##OTHER##,Gross Weight##FORCE##KILONEWTONS,H for motor##LENGTH##MILLIMETERS,H##LENGTH##MILLIMETERS,H2##LENGTH##MILLIMETERS,H3##LENGTH##MILLIMETERS,H4##LENGTH##MILLIMETERS,HA##LENGTH##MILLIMETERS,Has clearance area##OTHER##,Head##PIPING_PRESSURE##BARS,L##LENGTH##MILLIMETERS,L1##LENGTH##MILLIMETERS,L2##LENGTH##MILLIMETERS,L3##LENGTH##MILLIMETERS,L4##LENGTH##MILLIMETERS,LB##LENGTH##MILLIMETERS,Light blcak##OTHER##,Light red##OTHER##,LL##LENGTH##MILLIMETERS,Load Classification##OTHER##,M1##LENGTH##MILLIMETERS,Maximum ambient temperature at maximum temperature of pumped medium##OTHER##,Maximum Motor Power Rating##ELECTRICAL_APPARENT_POWER##KILOWATTS,Maximum Operating Temperature##PIPING_TEMPERATURE##CELSIUS,Maximum shaft output##OTHER##,Maximum Speed##OTHER##,Maximum Starting Current##ELECTRICAL_CURRENT##AMPERES,MCA##ELECTRICAL_CURRENT##AMPERES,Minimum operating temperature##PIPING_TEMPERATURE##CELSIUS,Minimum Speed##OTHER##,MOCP##ELECTRICAL_CURRENT##AMPERES,Motor Type##OTHER##,MotorVoltageActual##ELECTRICAL_POTENTIAL##VOLTS,N1##LENGTH##MILLIMETERS,Net Weight##FORCE##KILONEWTONS,O&M Manual##OTHER##,PowerFactor##OTHER##,PumpFlowActual##PIPING_FLOW##CUBIC_METERS_PER_HOUR,PumpFlowCALC##PIPING_FLOW##CUBIC_METERS_PER_HOUR,Rated Load Amperes##ELECTRICAL_CURRENT##AMPERES,Shipping Weight##FORCE##KILONEWTONS,Show Annotative Symbol##OTHER##,Size##OTHER##,Suc_D1##LENGTH##MILLIMETERS,Suc_D3##LENGTH##MILLIMETERS,SupplyFrequency##ELECTRICAL_FREQUENCY##HERTZ,SupplyPhase##OTHER##,SupplyVoltage##ELECTRICAL_POTENTIAL##VOLTS,Switching frequency##OTHER##,T1##LENGTH##MILLIMETERS,T2##LENGTH##MILLIMETERS,V1##LENGTH##MILLIMETERS,V3##LENGTH##MILLIMETERS,V4##LENGTH##MILLIMETERS,Wattage##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,X##LENGTH##MILLIMETERS
NK 80-380/416_93513150,93513150,125,90,0,435,470,335,220,0,3,501,546,370,149,0,Clearance Areas,80,200,3,37,F,152.59,120,-25,0,66.1,269,287,0,Grey,6.5691,225,140,355,420,755,28,1,5.0176,1474,1260,164,932,0,815,light black,light red,200,0,160,40,37,40,0,1480,66.1,0,-15,0,0,0,690,435,5.89221,http://product-selection.grundfos.com/product-detail.html?productnumber=93513150&custid=GMA,0.86,152.59,152.59,66.1,6.5691,1,1419,100,220,50,3,690,50,20,15,0,0,0,37000,180
NK 65-210/186_93513152,93513152,100,72.5,0,349,360,283,181,0,3,417,462,297,121,0,Clearance Areas,65,185,4,22,F,123.39,120,-25,0,38,149,182,0,Grey,3.51137,180,136,225,316,599,22,1,4.2728,1240.5,1015,164,687,0,735,light black,light red,171,0,125,40,22,40,0,2945,40,0,-15,0,0,0,690,320,3.10448,http://product-selection.grundfos.com/product-detail.html?productnumber=93513152&custid=GMA,0.89,123.39,123.39,38,3.51137,1,827,80,200,50,3,690,50,20,15,0,0,0,22000,140
NK 65-210/177_93513153,93513153,100,72.5,0,314,320,262,181,0,3,406,450,324,108,0,Clearance Areas,65,185,4,18.5,F,115.67,120,-25,0,32,149,182,0,Grey,2.98302,160,96,225,276,538,20,1,3.8318,1164.5,990,162,666,0,665,light black,light red,171,0,125,40,18.5,40,0,2940,33.7,0,-15,0,0,0,690,320,2.62815,http://product-selection.grundfos.com/product-detail.html?productnumber=93513153&custid=GMA,0.89,115.67,115.67,32,2.98302,1,726,80,200,50,3,690,50,20,15,0,0,0,18500,140
NK 80-380/390_93513154,93513154,125,90,0,395,420,305,220,0,3,501,546,370,133,0,Clearance Areas,80,200,3,30,F,138.96,120,-25,0,53.8,269,287,0,Grey,5.73345,200,140,355,420,725,25,1,4.3708,1429,1230,164,902,0,770,light black,light red,200,0,160,40,30,40,0,1475,53,0,-15,0,0,0,690,435,5.15656,http://product-selection.grundfos.com/product-detail.html?productnumber=93513154&custid=GMA,0.86,138.96,138.96,53.8,5.73345,1,1188,100,220,50,3,690,50,20,15,0,0,0,30000,180
NK 80-380/357_93513155,93513155,125,90,0,349,380,280,170,0,3,414,459,359,121,0,Clearance Areas,80,200,3,22,F,120.95,120,-25,0,39.7,269,287,0,Grey,5.26702,180,140,355,420,700,22,1,3.5966,1404,1200,164,872,0,745,light black,light red,160,0,160,40,22,40,0,1470,41.8,0,-15,0,0,0,690,435,4.69013,http://product-selection.grundfos.com/product-detail.html?productnumber=93513155&custid=GMA,0.86,120.95,120.95,39.7,5.26702,1,1188,100,220,50,3,690,50,20,15,0,0,0,22000,180
NK 65-210/225_93513156,93513156,100,72.5,0,262,260,213,146,0,3,368,412,184,89,0,Clearance Areas,65,185,4,5.5,F,73.2,120,-25,0,10.8,149,182,0,Grey,1.89739,132,96,225,276,489,18,1,1.5582,924.5,805,162,481,0,450,light black,light red,136,0,125,40,5.5,40,0,1460,11.4,0,-15,0,0,0,690,320,1.6505,http://product-selection.grundfos.com/product-detail.html?productnumber=93513156&custid=GMA,0.8,73.2,73.2,10.8,1.89739,1,490,80,200,50,3,690,50,20,15,0,0,0,5500,140
NK 80-380/438_93513157,93513157,125,90,0,349,380,280,170,0,3,414,459,359,121,0,Clearance Areas,80,200,3,15,F,107.1,120,-25,0,29.3,269,287,0,Grey,5.31702,180,140,355,420,700,22,1,2.3912,1404,1200,164,872,0,745,light black,light red,160,0,160,40,15,40,0,970,30.9,0,-15,0,0,0,690,435,4.74013,http://product-selection.grundfos.com/product-detail.html?productnumber=93513157&custid=GMA,0.81,107.1,107.1,29.3,5.31702,1,1188,100,220,50,3,690,50,20,15,0,0,0,15000,180
NK 65-210/211_93513158,93513158,100,72.5,0,228,226,193,146,0,3,299,343,201,70,0,Clearance Areas,65,185,4,4,F,69.8,120,-25,0,7.92,149,182,0,Grey,1.67871,112,96,225,276,469,15,1,1.3622,939.5,825,162,501,0,465,light black,light red,136,0,125,40,4,40,0,1450,8.34,0,-15,0,0,0,690,320,1.43182,http://product-selection.grundfos.com/product-detail.html?productnumber=93513158&custid=GMA,0.8,69.8,69.8,7.92,1.67871,1,490,80,200,50,3,690,50,20,15,0,0,0,4000,140
NK 80-380/421_93513159,93513159,125,90,0,320,330,255,170,0,3,394,455,305,108,0,Clearance Areas,80,200,3,11,F,101.6,120,-25,0,22,269,287,0,Grey,4.59766,160,100,355,380,640,20,1,2.205,1324,1145,162,821,0,665,light black,light red,160,0,160,40,11,40,0,970,23.1,0,-15,0,0,0,690,435,4.05077,http://product-selection.grundfos.com/product-detail.html?productnumber=93513159&custid=GMA,0.8,101.6,101.6,22,4.59766,1,1125,100,220,50,3,690,50,20,15,0,0,0,11000,180
NK 65-210/190_93513160,93513160,100,72.5,0,200,208,168,110,0,3,299,343,198,63,0,Clearance Areas,65,185,4,3,F,62.57,120,-25,0,5.99,149,182,0,Grey,1.54907,100,96,225,276,444,15,1,1.0878,894.5,805,162,481,0,420,light black,light red,102,0,125,40,3,40,0,1440,10.9,0,-15,0,0,0,400,320,1.30218,http://product-selection.grundfos.com/product-detail.html?productnumber=93513160&custid=GMA,0.8,62.57,62.57,5.99,1.54907,1,490,80,200,50,3,400,50,20,15,0,0,0,3000,140
