,ProductCode##OTHER##,A##LENGTH##MILLIMETERS,A2##LENGTH##MILLIMETERS,A3##LENGTH##MILLIMETERS,AB##LENGTH##MILLIMETERS,AC##LENGTH##MILLIMETERS,AD##LENGTH##MILLIMETERS,AG##LENGTH##MILLIMETERS,Apparent Load##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,A-Type Code##LENGTH##MILLIMETERS,B1##LENGTH##MILLIMETERS,B2##LENGTH##MILLIMETERS,BB##LENGTH##MILLIMETERS,C##LENGTH##MILLIMETERS,Category##OTHER##,Clearance area##OTHER##,Dis_D1##LENGTH##MILLIMETERS,Dis_D3##LENGTH##MILLIMETERS,Efficiency Rating##OTHER##,Electric motor output##OTHER##,Enclosure Rating##OTHER##,Flow##PIPING_FLOW##CUBIC_METERS_PER_HOUR,FluidTempMax##PIPING_TEMPERATURE##CELSIUS,FluidTempMin##PIPING_TEMPERATURE##CELSIUS,FluidType##OTHER##,Full Load Amperes##ELECTRICAL_CURRENT##AMPERES,G1##LENGTH##MILLIMETERS,G2##LENGTH##MILLIMETERS,G3##LENGTH##MILLIMETERS,Grey##OTHER##,Gross Weight##FORCE##KILONEWTONS,H for motor##LENGTH##MILLIMETERS,H##LENGTH##MILLIMETERS,H2##LENGTH##MILLIMETERS,H3##LENGTH##MILLIMETERS,H4##LENGTH##MILLIMETERS,HA##LENGTH##MILLIMETERS,Has clearance area##OTHER##,Head##PIPING_PRESSURE##BARS,L##LENGTH##MILLIMETERS,L1##LENGTH##MILLIMETERS,L2##LENGTH##MILLIMETERS,L3##LENGTH##MILLIMETERS,L4##LENGTH##MILLIMETERS,LB##LENGTH##MILLIMETERS,Light blcak##OTHER##,Light red##OTHER##,LL##LENGTH##MILLIMETERS,Load Classification##OTHER##,M1##LENGTH##MILLIMETERS,Maximum ambient temperature at maximum temperature of pumped medium##OTHER##,Maximum Motor Power Rating##ELECTRICAL_APPARENT_POWER##KILOWATTS,Maximum Operating Temperature##PIPING_TEMPERATURE##CELSIUS,Maximum shaft output##OTHER##,Maximum Speed##OTHER##,Maximum Starting Current##ELECTRICAL_CURRENT##AMPERES,MCA##ELECTRICAL_CURRENT##AMPERES,Minimum operating temperature##PIPING_TEMPERATURE##CELSIUS,Minimum Speed##OTHER##,MOCP##ELECTRICAL_CURRENT##AMPERES,Motor Type##OTHER##,MotorVoltageActual##ELECTRICAL_POTENTIAL##VOLTS,N1##LENGTH##MILLIMETERS,Net Weight##FORCE##KILONEWTONS,O&M Manual##OTHER##,PowerFactor##OTHER##,PumpFlowActual##PIPING_FLOW##CUBIC_METERS_PER_HOUR,PumpFlowCALC##PIPING_FLOW##CUBIC_METERS_PER_HOUR,Rated Load Amperes##ELECTRICAL_CURRENT##AMPERES,Shipping Weight##FORCE##KILONEWTONS,Show Annotative Symbol##OTHER##,Size##OTHER##,Suc_D1##LENGTH##MILLIMETERS,Suc_D3##LENGTH##MILLIMETERS,SupplyFrequency##ELECTRICAL_FREQUENCY##HERTZ,SupplyPhase##OTHER##,SupplyVoltage##ELECTRICAL_POTENTIAL##VOLTS,Switching frequency##OTHER##,T1##LENGTH##MILLIMETERS,T2##LENGTH##MILLIMETERS,V1##LENGTH##MILLIMETERS,V3##LENGTH##MILLIMETERS,V4##LENGTH##MILLIMETERS,Wattage##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,X##LENGTH##MILLIMETERS
NK 32-125.1/140_96594440,96594440,80,60,0,139,141,109,82,0,3,270,360,110,45,0,Clearance Areas,32,140,IE2,0.37,F,11.2,120,0,0,1.05,117,117,0,Grey,0.92,71,65,140,177,286,3,1,0.51156,753,800,130,540,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,190,0.78,http://product-selection.grundfos.com/product-detail.html?productnumber=96594440&custid=GMA,0.94,11.2,11.2,1.05,0.92,1,249,50,165,50,3,380,50,20,15,0,0,0,370,100
NK 32-125/142_96594447,96594447,80,60,0,139,141,109,82,0,3,270,360,110,45,0,Clearance Areas,32,140,IE2,0.37,F,13.13,120,0,0,1.05,117,117,0,Grey,0.92,71,65,140,177,286,3,1,0.539,667,704,130,444,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,190,0.78,http://product-selection.grundfos.com/product-detail.html?productnumber=96594447&custid=GMA,0.94,13.13,13.13,1.05,0.92,1,249,50,165,50,3,380,50,20,15,0,0,0,370,100
NK 32-125/142_96594448,96594448,80,60,0,139,141,109,82,0,3,270,360,110,45,0,Clearance Areas,32,140,IE2,0.37,F,13.13,120,0,0,1.05,117,117,0,Grey,0.92,71,65,140,177,286,3,1,0.539,753,800,130,540,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,190,0.78,http://product-selection.grundfos.com/product-detail.html?productnumber=96594448&custid=GMA,0.94,13.13,13.13,1.05,0.92,1,249,50,165,50,3,380,50,20,15,0,0,0,370,100
NK 32-160.1/172_96594455,96594455,80,60,0,139,141,109,82,0,3,340,450,110,45,0,Clearance Areas,32,140,IE2,0.37,F,9.85,120,0,0,1.05,117,123,0,Grey,1.12,71,80,160,212,321,3,1,0.739998,667,929,170,589,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,240,0.99,http://product-selection.grundfos.com/product-detail.html?productnumber=96594455&custid=GMA,0.93,9.85,9.85,1.05,1.12,1,279,50,165,50,3,380,50,20,15,0,0,0,370,100
NK 32-160.1/172_96594456,96594456,80,60,0,139,141,109,82,0,3,340,450,110,45,0,Clearance Areas,32,140,IE2,0.37,F,9.85,120,0,0,1.05,117,123,0,Grey,1.11,71,80,160,212,321,3,1,0.739998,753,1000,170,660,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,240,0.97,http://product-selection.grundfos.com/product-detail.html?productnumber=96594456&custid=GMA,0.93,9.85,9.85,1.05,1.11,1,279,50,165,50,3,380,50,20,15,0,0,0,370,100
NK 32-160.1/177_96594463,96594463,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,10.63,120,0,0,1.26,117,123,0,Grey,1.18,80,80,160,212,333,8,1,0.850542,688,929,170,589,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.04,http://product-selection.grundfos.com/product-detail.html?productnumber=96594463&custid=GMA,0.93,10.63,10.63,1.26,1.18,1,279,50,165,50,3,380,50,20,15,0,0,0,550,100
NK 32-160.1/177_96594464,96594464,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,10.63,120,0,0,1.26,117,123,0,Grey,1.17,80,80,160,212,333,8,1,0.850542,784,1000,170,660,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.03,http://product-selection.grundfos.com/product-detail.html?productnumber=96594464&custid=GMA,0.93,10.63,10.63,1.26,1.17,1,279,50,165,50,3,380,50,20,15,0,0,0,550,100
NK 32-160/170_96594471,96594471,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,14.7,120,0,0,1.26,117,125,0,Grey,1.18,80,80,160,212,333,8,1,0.77322,688,929,170,589,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.04,http://product-selection.grundfos.com/product-detail.html?productnumber=96594471&custid=GMA,0.93,14.7,14.7,1.26,1.18,1,279,50,165,50,3,380,50,20,15,0,0,0,550,100
NK 32-160/170_96594472,96594472,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,14.7,120,0,0,1.26,117,125,0,Grey,1.17,80,80,160,212,333,8,1,0.77322,784,1000,170,660,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.03,http://product-selection.grundfos.com/product-detail.html?productnumber=96594472&custid=GMA,0.93,14.7,14.7,1.26,1.17,1,279,50,165,50,3,380,50,20,15,0,0,0,550,100
NK 32-200.1/175_96594487,96594487,80,60,0,139,141,109,82,0,3,340,450,110,45,0,Clearance Areas,32,140,IE2,0.37,F,8.69,120,0,0,1.05,135,137,0,Grey,1.2,71,80,180,240,349,3,1,0.66689,666.5,929,170,589,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,240,1.07,http://product-selection.grundfos.com/product-detail.html?productnumber=96594487&custid=GMA,0.93,8.69,8.69,1.05,1.2,1,306,50,165,50,3,380,50,20,15,0,0,0,370,100
NK 32-200.1/175_96594488,96594488,80,60,0,139,141,109,82,0,3,340,450,110,45,0,Clearance Areas,32,140,IE2,0.37,F,8.69,120,0,0,1.05,135,137,0,Grey,1.19,71,80,180,240,349,3,1,0.66689,752.5,1000,170,660,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,240,1.05,http://product-selection.grundfos.com/product-detail.html?productnumber=96594488&custid=GMA,0.93,8.69,8.69,1.05,1.19,1,306,50,165,50,3,380,50,20,15,0,0,0,370,100
NK 32-200.1/196_96594495,96594495,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,10.82,120,0,0,1.26,135,137,0,Grey,1.27,80,80,180,240,361,8,1,0.937566,687.5,929,170,589,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.13,http://product-selection.grundfos.com/product-detail.html?productnumber=96594495&custid=GMA,0.93,10.82,10.82,1.26,1.27,1,306,50,165,50,3,380,50,20,15,0,0,0,550,100
NK 32-200.1/196_96594496,96594496,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,10.82,120,0,0,1.26,135,137,0,Grey,1.24,80,80,180,240,361,8,1,0.937566,783.5,1000,170,660,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.11,http://product-selection.grundfos.com/product-detail.html?productnumber=96594496&custid=GMA,0.93,10.82,10.82,1.26,1.24,1,306,50,165,50,3,380,50,20,15,0,0,0,550,100
NK 32-200/184_96594511,96594511,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,14.2,120,0,0,1.26,124,145,0,Grey,1.26,80,80,180,240,361,8,1,0.84084,687.5,929,170,589,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.12,http://product-selection.grundfos.com/product-detail.html?productnumber=96594511&custid=GMA,0.93,14.2,14.2,1.26,1.26,1,306,50,165,50,3,380,50,20,15,0,0,0,550,100
NK 32-200/184_96594512,96594512,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,14.2,120,0,0,1.26,124,145,0,Grey,1.24,80,80,180,240,361,8,1,0.84084,783.5,1000,170,660,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.1,http://product-selection.grundfos.com/product-detail.html?productnumber=96594512&custid=GMA,0.93,14.2,14.2,1.26,1.24,1,306,50,165,50,3,380,50,20,15,0,0,0,550,100
NK 40-125/130_96594543,96594543,80,60,0,139,141,109,82,0,3,300,390,110,45,0,Clearance Areas,40,150,IE2,0.37,F,22.3,120,0,0,1.05,117,118,0,Grey,0.99,71,65,140,177,286,3,1,0.401996,667,804,150,504,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,210,0.86,http://product-selection.grundfos.com/product-detail.html?productnumber=96594543&custid=GMA,0.93,22.3,22.3,1.05,0.99,1,249,65,185,50,3,380,50,20,15,0,0,0,370,100
NK 40-125/130_96594544,96594544,80,60,0,139,141,109,82,0,3,300,390,110,45,0,Clearance Areas,40,150,IE2,0.37,F,22.3,120,0,0,1.05,117,118,0,Grey,1.01,71,65,140,177,286,3,1,0.401996,753,900,150,600,0,191,light black,light red,82,0,100,40,0.37,40,0,1400,1.05,0,-30,0,0,0,380,210,0.87,http://product-selection.grundfos.com/product-detail.html?productnumber=96594544&custid=GMA,0.93,22.3,22.3,1.05,1.01,1,249,65,185,50,3,380,50,20,15,0,0,0,370,100
NK 40-125/142_96594551,96594551,80,60,0,150,159,121,93,0,3,300,390,118,50,0,Clearance Areas,40,150,IE3,0.55,F,24.73,120,0,0,1.26,117,118,0,Grey,1.04,80,65,140,177,298,8,1,0.531552,688,804,150,504,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,210,0.9,http://product-selection.grundfos.com/product-detail.html?productnumber=96594551&custid=GMA,0.94,24.73,24.73,1.26,1.04,1,249,65,185,50,3,380,50,20,15,0,0,0,550,100
NK 40-125/142_96594552,96594552,80,60,0,150,159,121,93,0,3,300,390,118,50,0,Clearance Areas,40,150,IE3,0.55,F,24.73,120,0,0,1.26,117,118,0,Grey,1.05,80,65,140,177,298,8,1,0.531552,784,900,150,600,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,210,0.91,http://product-selection.grundfos.com/product-detail.html?productnumber=96594552&custid=GMA,0.94,24.73,24.73,1.26,1.05,1,249,65,185,50,3,380,50,20,15,0,0,0,550,100
NK 40-160/151_96594559,96594559,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,40,150,IE3,0.55,F,17.88,120,0,0,1.26,117,133,0,Grey,1.19,80,80,160,212,333,8,1,0.676592,688,929,170,589,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.06,http://product-selection.grundfos.com/product-detail.html?productnumber=96594559&custid=GMA,0.94,17.88,17.88,1.26,1.19,1,279,65,185,50,3,380,50,20,15,0,0,0,550,100
NK 40-160/151_96594560,96594560,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,40,150,IE3,0.55,F,17.88,120,0,0,1.26,117,133,0,Grey,1.18,80,80,160,212,333,8,1,0.676592,784,1000,170,660,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.05,http://product-selection.grundfos.com/product-detail.html?productnumber=96594560&custid=GMA,0.94,17.88,17.88,1.26,1.18,1,279,65,185,50,3,380,50,20,15,0,0,0,550,100
NK 50-125/125_96594695,96594695,100,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,50,165,IE3,0.55,F,32.87,120,0,0,1.26,117,130,0,Grey,1.21,80,80,160,212,333,8,1,0.396312,708,929,170,589,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.07,http://product-selection.grundfos.com/product-detail.html?productnumber=96594695&custid=GMA,0.94,32.87,32.87,1.26,1.21,1,279,65,185,50,3,380,50,20,15,0,0,0,550,100
NK 50-125/125_96594696,96594696,100,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,50,165,IE3,0.55,F,32.87,120,0,0,1.26,117,130,0,Grey,1.2,80,80,160,212,333,8,1,0.396312,804,1000,170,660,0,252,light black,light red,79,0,100,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,240,1.06,http://product-selection.grundfos.com/product-detail.html?productnumber=96594696&custid=GMA,0.94,32.87,32.87,1.26,1.2,1,279,65,185,50,3,380,50,20,15,0,0,0,550,100
NK 65-125/121_96594927,96594927,100,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,65,185,IE3,0.55,F,48.96,120,0,0,1.26,117,146,0,Grey,1.26,80,80,180,240,361,8,1,0.31899,708,929,170,589,0,252,light black,light red,79,0,125,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,280,1.13,http://product-selection.grundfos.com/product-detail.html?productnumber=96594927&custid=GMA,0.94,48.96,48.96,1.26,1.26,1,306,80,200,50,3,380,50,20,15,0,0,0,550,100
NK 65-125/121_96594928,96594928,100,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,65,185,IE3,0.55,F,48.96,120,0,0,1.26,117,146,0,Grey,1.24,80,80,180,240,361,8,1,0.31899,804,1000,170,660,0,252,light black,light red,79,0,125,55,0.55,55,0,1440,1.26,0,-20,0,0,0,380,280,1.1,http://product-selection.grundfos.com/product-detail.html?productnumber=96594928&custid=GMA,0.94,48.96,48.96,1.26,1.24,1,306,80,200,50,3,380,50,20,15,0,0,0,550,100
NK 32-125.1/132_96597918,96597918,80,60,0,139,141,109,82,0,3,270,360,110,45,0,Clearance Areas,32,140,IE2,0.37,F,12.23,120,0,0,0.9,117,117,0,Grey,0.92,71,65,140,177,286,3,1,0.590548,667,704,130,444,0,191,light black,light red,82,0,100,40,0.37,40,0,1685,0.9,0,-30,0,0,0,380,190,0.78,http://product-selection.grundfos.com/product-detail.html?productnumber=96597918&custid=GMA,0.94,12.23,12.23,0.9,0.92,1,249,50,165,60,3,380,60,20,15,0,0,0,370,100
NK 32-125.1/132_96597919,96597919,80,60,0,139,141,109,82,0,3,270,360,110,45,0,Clearance Areas,32,140,IE2,0.37,F,12.23,120,0,0,0.9,117,117,0,Grey,0.92,71,65,140,177,286,3,1,0.590548,753,800,130,540,0,191,light black,light red,82,0,100,40,0.37,40,0,1685,0.9,0,-30,0,0,0,380,190,0.78,http://product-selection.grundfos.com/product-detail.html?productnumber=96597919&custid=GMA,0.94,12.23,12.23,0.9,0.92,1,249,50,165,60,3,380,60,20,15,0,0,0,370,100
NK 32-125.1/140_96597926,96597926,80,60,0,150,159,121,93,0,3,270,360,118,50,0,Clearance Areas,32,140,IE3,0.55,F,13.9,120,0,0,1.15,117,117,0,Grey,0.96,80,65,140,177,298,8,1,0.7938,688,704,130,444,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,190,0.83,http://product-selection.grundfos.com/product-detail.html?productnumber=96597926&custid=GMA,0.94,13.9,13.9,1.15,0.96,1,249,50,165,60,3,380,60,20,15,0,0,0,550,100
NK 32-125.1/140_96597927,96597927,80,60,0,150,159,121,93,0,3,270,360,118,50,0,Clearance Areas,32,140,IE3,0.55,F,13.9,120,0,0,1.15,117,117,0,Grey,0.96,80,65,140,177,298,8,1,0.7938,784,800,130,540,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,190,0.82,http://product-selection.grundfos.com/product-detail.html?productnumber=96597927&custid=GMA,0.94,13.9,13.9,1.15,0.96,1,249,50,165,60,3,380,60,20,15,0,0,0,550,100
NK 32-125/123_96597934,96597934,80,60,0,139,141,109,82,0,3,270,360,110,45,0,Clearance Areas,32,140,IE2,0.37,F,13.67,120,0,0,0.9,117,117,0,Grey,0.92,71,65,140,177,286,3,1,0.545174,667,704,130,444,0,191,light black,light red,82,0,100,40,0.37,40,0,1685,0.9,0,-30,0,0,0,380,190,0.78,http://product-selection.grundfos.com/product-detail.html?productnumber=96597934&custid=GMA,0.94,13.67,13.67,0.9,0.92,1,249,50,165,60,3,380,60,20,15,0,0,0,370,100
NK 32-125/123_96597935,96597935,80,60,0,139,141,109,82,0,3,270,360,110,45,0,Clearance Areas,32,140,IE2,0.37,F,13.67,120,0,0,0.9,117,117,0,Grey,0.92,71,65,140,177,286,3,1,0.545174,753,800,130,540,0,191,light black,light red,82,0,100,40,0.37,40,0,1685,0.9,0,-30,0,0,0,380,190,0.78,http://product-selection.grundfos.com/product-detail.html?productnumber=96597935&custid=GMA,0.94,13.67,13.67,0.9,0.92,1,249,50,165,60,3,380,60,20,15,0,0,0,370,100
NK 32-125/137_96597942,96597942,80,60,0,150,159,121,93,0,3,270,360,118,50,0,Clearance Areas,32,140,IE3,0.55,F,15.5,120,0,0,1.15,117,117,0,Grey,0.96,80,65,140,177,298,8,1,0.784,688,704,130,444,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,190,0.83,http://product-selection.grundfos.com/product-detail.html?productnumber=96597942&custid=GMA,0.94,15.5,15.5,1.15,0.96,1,249,50,165,60,3,380,60,20,15,0,0,0,550,100
NK 32-125/137_96597943,96597943,80,60,0,150,159,121,93,0,3,270,360,118,50,0,Clearance Areas,32,140,IE3,0.55,F,15.5,120,0,0,1.15,117,117,0,Grey,0.96,80,65,140,177,298,8,1,0.784,784,800,130,540,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,190,0.82,http://product-selection.grundfos.com/product-detail.html?productnumber=96597943&custid=GMA,0.93,15.5,15.5,1.15,0.96,1,249,50,165,60,3,380,60,20,15,0,0,0,550,100
NK 32-160.1/147_96597958,96597958,80,60,0,139,141,109,82,0,3,340,450,110,45,0,Clearance Areas,32,140,IE2,0.37,F,9.92,120,0,0,0.9,117,123,0,Grey,1.12,71,80,160,212,321,3,1,0.708638,667,929,170,589,0,191,light black,light red,82,0,100,40,0.37,40,0,1685,0.9,0,-30,0,0,0,380,240,0.98,http://product-selection.grundfos.com/product-detail.html?productnumber=96597958&custid=GMA,0.93,9.92,9.92,0.9,1.12,1,279,50,165,60,3,380,60,20,15,0,0,0,370,100
NK 32-160.1/147_96597959,96597959,80,60,0,139,141,109,82,0,3,340,450,110,45,0,Clearance Areas,32,140,IE2,0.37,F,9.92,120,0,0,0.9,117,123,0,Grey,1.1,71,80,160,212,321,3,1,0.708638,753,1000,170,660,0,191,light black,light red,82,0,100,40,0.37,40,0,1685,0.9,0,-30,0,0,0,380,240,0.97,http://product-selection.grundfos.com/product-detail.html?productnumber=96597959&custid=GMA,0.93,9.92,9.92,0.9,1.1,1,279,50,165,60,3,380,60,20,15,0,0,0,370,100
NK 32-160.1/160_96597966,96597966,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,11.6,120,0,0,1.15,117,123,0,Grey,1.17,80,80,160,212,333,8,1,0.9506,688,929,170,589,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,240,1.04,http://product-selection.grundfos.com/product-detail.html?productnumber=96597966&custid=GMA,0.93,11.6,11.6,1.15,1.17,1,279,50,165,60,3,380,60,20,15,0,0,0,550,100
NK 32-160.1/160_96597967,96597967,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,11.6,120,0,0,1.15,117,123,0,Grey,1.16,80,80,160,212,333,8,1,0.9506,784,1000,170,660,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,240,1.03,http://product-selection.grundfos.com/product-detail.html?productnumber=96597967&custid=GMA,0.93,11.6,11.6,1.15,1.16,1,279,50,165,60,3,380,60,20,15,0,0,0,550,100
NK 32-160/144_96597982,96597982,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,14,120,0,0,1.15,117,125,0,Grey,1.17,80,80,160,212,333,8,1,0.7742,688,929,170,589,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,240,1.04,http://product-selection.grundfos.com/product-detail.html?productnumber=96597982&custid=GMA,0.93,14,14,1.15,1.17,1,279,50,165,60,3,380,60,20,15,0,0,0,550,100
NK 32-160/144_96597983,96597983,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,14,120,0,0,1.15,117,125,0,Grey,1.16,80,80,160,212,333,8,1,0.7742,784,1000,170,660,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,240,1.03,http://product-selection.grundfos.com/product-detail.html?productnumber=96597983&custid=GMA,0.93,14,14,1.15,1.16,1,279,50,165,60,3,380,60,20,15,0,0,0,550,100
NK 32-200.1/168_96598030,96598030,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,10.3,120,0,0,1.15,135,137,0,Grey,1.26,80,80,180,240,361,8,1,0.9506,687.5,929,170,589,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,240,1.12,http://product-selection.grundfos.com/product-detail.html?productnumber=96598030&custid=GMA,0.93,10.3,10.3,1.15,1.26,1,306,50,165,60,3,380,60,20,15,0,0,0,550,100
NK 32-200.1/168_96598031,96598031,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,32,140,IE3,0.55,F,10.3,120,0,0,1.15,135,137,0,Grey,1.24,80,80,180,240,361,8,1,0.9506,783.5,1000,170,660,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,240,1.1,http://product-selection.grundfos.com/product-detail.html?productnumber=96598031&custid=GMA,0.93,10.3,10.3,1.15,1.24,1,306,50,165,60,3,380,60,20,15,0,0,0,550,100
NK 40-125/111_96598150,96598150,80,60,0,139,141,109,82,0,3,300,390,110,45,0,Clearance Areas,40,150,IE2,0.37,F,23.4,120,0,0,0.9,117,118,0,Grey,0.99,71,65,140,177,286,3,1,0.381612,667,804,150,504,0,191,light black,light red,82,0,100,40,0.37,40,0,1685,0.9,0,-30,0,0,0,380,210,0.85,http://product-selection.grundfos.com/product-detail.html?productnumber=96598150&custid=GMA,0.93,23.4,23.4,0.9,0.99,1,249,65,185,60,3,380,60,20,15,0,0,0,370,100
NK 40-125/111_96598151,96598151,80,60,0,139,141,109,82,0,3,300,390,110,45,0,Clearance Areas,40,150,IE2,0.37,F,23.4,120,0,0,0.9,117,118,0,Grey,1,71,65,140,177,286,3,1,0.381612,753,900,150,600,0,191,light black,light red,82,0,100,40,0.37,40,0,1685,0.9,0,-30,0,0,0,380,210,0.87,http://product-selection.grundfos.com/product-detail.html?productnumber=96598151&custid=GMA,0.93,23.4,23.4,0.9,1,1,249,65,185,60,3,380,60,20,15,0,0,0,370,100
NK 40-125/123_96598158,96598158,80,60,0,150,159,121,93,0,3,300,390,118,50,0,Clearance Areas,40,150,IE3,0.55,F,26.7,120,0,0,1.15,117,118,0,Grey,1.03,80,65,140,177,298,8,1,0.5292,688,804,150,504,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,210,0.9,http://product-selection.grundfos.com/product-detail.html?productnumber=96598158&custid=GMA,0.93,26.7,26.7,1.15,1.03,1,249,65,185,60,3,380,60,20,15,0,0,0,550,100
NK 40-125/123_96598159,96598159,80,60,0,150,159,121,93,0,3,300,390,118,50,0,Clearance Areas,40,150,IE3,0.55,F,26.7,120,0,0,1.15,117,118,0,Grey,1.05,80,65,140,177,298,8,1,0.5292,784,900,150,600,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,210,0.91,http://product-selection.grundfos.com/product-detail.html?productnumber=96598159&custid=GMA,0.93,26.7,26.7,1.15,1.05,1,249,65,185,60,3,380,60,20,15,0,0,0,550,100
NK 40-160/125_96598190,96598190,80,60,0,150,159,121,93,0,3,340,450,118,50,0,Clearance Areas,40,150,IE3,0.55,F,17.1,120,0,0,1.15,117,133,0,Grey,1.19,80,80,160,212,333,8,1,0.6076,688,929,170,589,0,252,light black,light red,79,0,100,55,0.55,55,0,1750,1.15,0,-20,0,0,0,380,240,1.05,http://product-selection.grundfos.com/product-detail.html?productnumber=96598190&custid=GMA,0.93,17.1,17.1,1.15,1.19,1,279,65,185,60,3,380,60,20,15,0,0,0,550,100
